style_id,name,gender,master_category,sub_category,article_type,component_type,color,season,usage
15970,turtle check men navy blue shirt,Men,Apparel,Topwear,Shirts,Top,Navy Blue,Fall,Casual
39386,peter england men party blue jeans,Men,Apparel,Bottomwear,Jeans,Bottom,Blue,Summer,Casual
59263,titan women silver watch,Women,Accessories,Watches,Watches,Accessories,Silver,Winter,Casual
21379,manchester united men solid black track pants,Men,Apparel,Bottomwear,Track Pants,Bottom,Black,Fall,Casual
53759,puma men grey t-shirt,Men,Apparel,Topwear,Tshirts,Top,Grey,Summer,Casual
1855,inkfruit mens chain reaction t-shirt,Men,Apparel,Topwear,Tshirts,Top,Grey,Summer,Casual
30805,fabindia men striped green shirt,Men,Apparel,Topwear,Shirts,Top,Green,Summer,Ethnic
26960,jealous 21 women purple shirt,Women,Apparel,Topwear,Shirts,Top,Purple,Summer,Casual
29114,puma men pack of 3 socks,Men,Accessories,Socks,Socks,Accessories,Navy Blue,Summer,Casual
30039,skagen men black watch,Men,Accessories,Watches,Watches,Accessories,Black,Winter,Casual
9204,puma men future cat remix sf black casual shoes,Men,Footwear,Shoes,Casual Shoes,Footwear,Black,Summer,Casual
48123,fossil women black huarache weave belt,Women,Accessories,Belts,Belts,Accessories,Black,Summer,Casual
18653,fila men cush flex black slippers,Men,Footwear,Flip Flops,Flip Flops,Footwear,Black,Fall,Casual
47957,murcia women blue handbag,Women,Accessories,Bags,Handbags,Accessories,Blue,Summer,Casual
12369,reid & taylor men check purple shirts,Men,Apparel,Topwear,Shirts,Top,Purple,Fall,Formal
29928,police men black dial watch pl12889jvsb,Men,Accessories,Watches,Watches,Accessories,Black,Winter,Casual
47359,baggit women brown handbag,Women,Accessories,Bags,Handbags,Accessories,Brown,Summer,Casual
17429,casio g-shock men black digital watch g-7710-1dr g223,Men,Accessories,Watches,Watches,Accessories,Black,Winter,Casual
12967,adidas men spry m black sandals,Men,Footwear,Sandal,Sandals,Footwear,Black,Fall,Casual
6842,timberland unisex rubber sole brush shoe accessories,Unisex,Accessories,Shoe Accessories,Shoe Accessories,Footwear,Black,Summer,Casual
13089,adidas men lfc auth hood grey sweatshirts,Men,Apparel,Topwear,Sweatshirts,Top,Grey,Fall,Sports
9036,buckaroo men flores black formal shoes,Men,Footwear,Shoes,Formal Shoes,Footwear,Black,Winter,Formal
48311,pitaraa women bronze beaded bracelet,Women,Accessories,Jewellery,Bracelet,Accessories,Bronze,Winter,Casual
7990,fila men's round neck navy blue t-shirt,Men,Apparel,Topwear,Tshirts,Top,Navy Blue,Fall,Sports
21977,murcia women casual brown handbag,Women,Accessories,Bags,Handbags,Accessories,Brown,Winter,Casual
37812,john players men navy blue shirt,Men,Apparel,Topwear,Shirts,Top,Navy Blue,Summer,Formal
56825,john players men brown shirt,Men,Apparel,Topwear,Shirts,Top,Brown,Summer,Casual
39988,gas men europa white shoes,Men,Footwear,Shoes,Casual Shoes,Footwear,White,Winter,Casual
59051,carlton london women black & gold toned flats,Women,Footwear,Shoes,Flats,Footwear,Black,Winter,Casual
20099,diva women embroided green kurta,Women,Apparel,Topwear,Kurtas,Top,Green,Fall,Ethnic
58183,rocky s women white handbag,Women,Accessories,Bags,Handbags,Accessories,White,Summer,Casual
29742,kiara women teal handbag,Women,Accessories,Bags,Handbags,Accessories,Teal,Summer,Casual
51658,fossil women copper chronograph watch ch2589,Women,Accessories,Watches,Watches,Accessories,Copper,Winter,Casual
3954,jealous 21 women's pink t-shirt,Women,Apparel,Topwear,Tshirts,Top,Pink,Summer,Casual
18839,peter england men formal black belt,Men,Accessories,Belts,Belts,Accessories,Black,Fall,Formal
2886,catwalk women leather brown flats,Women,Footwear,Shoes,Flats,Footwear,Brown,Winter,Casual
23278,maxima ssteele men off white watch,Men,Accessories,Watches,Watches,Accessories,Off White,Winter,Casual
28690,w women printed beige kurta,Women,Apparel,Topwear,Kurtas,Top,Beige,Summer,Ethnic
8580,scullers men  grey waistcoat,Men,Apparel,Topwear,Waistcoat,Top,Grey,Fall,Casual
3168,nike men's incinerate msl white blue shoe,Men,Footwear,Shoes,Sports Shoes,Footwear,White,Fall,Sports
18005,puma men long logo black bermuda,Men,Apparel,Bottomwear,Shorts,Bottom,Black,Summer,Sports
17871,levis men boxer maroon brief,Men,Apparel,Innerwear,Briefs,Bottom,Maroon,Winter,Casual
9452,john miller men stripes white red shirts,Men,Apparel,Topwear,Shirts,Top,Red,Fall,Formal
38402,baggit women hood dabang black belt,Women,Accessories,Belts,Belts,Accessories,Black,Summer,Casual
44984,maxima women white dial watch,Women,Accessories,Watches,Watches,Accessories,White,Winter,Casual
10268,clarks men hang work leather black formal shoes,Men,Footwear,Shoes,Formal Shoes,Footwear,Black,Fall,Formal
45856,vishudh women brown kurta,Women,Apparel,Topwear,Kurtas,Top,Brown,Summer,Ethnic
32138,playboy men blue titanium briefs,Men,Apparel,Innerwear,Briefs,Bottom,Blue,Summer,Casual
59435,arrow men black formal shoes,Men,Footwear,Shoes,Formal Shoes,Footwear,Black,Summer,Formal
5891,puma men's stripe polo black t-shirt,Men,Apparel,Topwear,Tshirts,Top,Black,Summer,Casual
38630,nike women purple polo t-shirt,Women,Apparel,Topwear,Tshirts,Top,Purple,Summer,Casual
4943,gini and jony boy's kaleb white brown kidswear,Men,Apparel,Topwear,Shirts,Top,White,Summer,Casual
11188,carrera men dial steel finish strap silver watches,Men,Accessories,Watches,Watches,Accessories,Silver,Winter,Casual
10866,wrangler men motor rider red t-shirts,Men,Apparel,Topwear,Tshirts,Top,Red,Fall,Casual
59607,fnf pink & grey wedding collection sari,Women,Apparel,Saree,Sarees,Top,Grey,Fall,Ethnic
15528,puma men scribble black tshirts,Men,Apparel,Topwear,Tshirts,Top,Black,Fall,Casual
45258,casio edifice men black dial chronograph watch ed60,Men,Accessories,Watches,Watches,Accessories,Black,Winter,Casual
42841,french connection women beige handbag,Women,Accessories,Bags,Handbags,Accessories,Beige,Summer,Casual
22198,timberland men black casual shoes,Men,Footwear,Shoes,Casual Shoes,Footwear,Black,Fall,Casual
29570,vans men classic slip-on purple & black shoes,Men,Footwear,Shoes,Casual Shoes,Footwear,Purple,Summer,Casual
43993,police women passion perfume,Women,Personal Care,Fragrance,Perfume and Body Mist,Accessories,Pink,Spring,Casual
6628,adidas men's lowell white silver shoe,Men,Footwear,Shoes,Sports Shoes,Footwear,White,Summer,Sports
54924,do u speak green men blue shorts,Men,Apparel,Bottomwear,Shorts,Bottom,Blue,Summer,Casual
26538,id men red shoes,Men,Footwear,Shoes,Casual Shoes,Footwear,Red,Fall,Casual
35913,peperone women black & white handbag,Women,Accessories,Bags,Handbags,Accessories,Black,Summer,Casual
49495,vans men khaki shoes,Men,Footwear,Shoes,Casual Shoes,Footwear,Khaki,Summer,Casual
9660,indigo nation men reversible bling pink shirts,Men,Apparel,Topwear,Shirts,Top,Pink,Fall,Casual
2288,nike women black t-shirt,Women,Apparel,Topwear,Tshirts,Top,Black,Fall,Sports
23876,adidas men blue sweatshirt,Men,Apparel,Topwear,Sweatshirts,Top,Blue,Fall,Casual
18237,manchester united men solid red tshirt,Men,Apparel,Topwear,Tshirts,Top,Red,Fall,Casual
54118,rocia women black flats,Women,Footwear,Shoes,Heels,Footwear,Black,Winter,Casual
2872,catwalk women leather flats,Women,Footwear,Shoes,Heels,Footwear,Brown,Winter,Casual
49653,mineral women green top,Women,Apparel,Topwear,Tops,Top,Green,Summer,Casual
8574,crocs dora boots pink sandals,Women,Footwear,Sandal,Sandals,Footwear,Pink,Fall,Casual
16957,image men sunglasses,Men,Accessories,Eyewear,Sunglasses,Accessories,Black,Winter,Casual
19123,lotto men xl water man silver slippers,Men,Footwear,Flip Flops,Flip Flops,Footwear,Silver,Fall,Casual
13419,united colors of benetton men solid pink polo t-shirts,Men,Apparel,Topwear,Tshirts,Top,Pink,Summer,Casual
17885,levis men comfort style grey innerwear vest,Men,Apparel,Innerwear,Innerwear Vests,Top,Grey,Summer,Casual
43369,reebok men black possession flip flops,Men,Footwear,Flip Flops,Flip Flops,Footwear,Black,Summer,Casual
44970,maxima men white dial analog chronograph watch,Men,Accessories,Watches,Watches,Accessories,White,Winter,Casual
39524,peter england unisex orange sleeve bag,Unisex,Accessories,Bags,Laptop Bag,Top,Orange,Summer,Casual
33822,puma men axis white & grey sports shoes,Men,Footwear,Shoes,Sports Shoes,Footwear,White,Summer,Sports
58513,tonga women maroon top,Women,Apparel,Topwear,Tops,Top,Off White,Summer,Casual
52029,just natural unisex charcoal rain jacket,Unisex,Apparel,Topwear,Rain Jacket,Top,Coffee Brown,Summer,Casual
5865,adidas men's twelve faster t-shirt,Men,Apparel,Topwear,Tshirts,Top,Black,Summer,Casual
39716,arrow woman women blue dress,Women,Apparel,Dress,Dresses,Top,Blue,Summer,Casual
25349,levis men red brief,Men,Apparel,Innerwear,Briefs,Bottom,Red,Summer,Casual
11940,ganuchi men casual black sandals,Men,Footwear,Sandal,Sandals,Footwear,Black,Summer,Casual
29584,indigo nation men printed black t-shirt,Men,Apparel,Topwear,Tshirts,Top,Black,Summer,Casual
43967,dkny women red delicious perfume,Women,Personal Care,Fragrance,Perfume and Body Mist,Accessories,Red,Spring,Casual
28456,urban yoga women blue skirt with leggings,Women,Apparel,Bottomwear,Skirts,Bottom,Blue,Summer,Sports
19311,nike men air rift mtr white casual shoe,Men,Footwear,Shoes,Casual Shoes,Footwear,White,Fall,Casual
42089,adidas men white corona sports shoes,Men,Footwear,Shoes,Sports Shoes,Footwear,White,Summer,Sports
22950,fastrack unisex black dial watch 9915pp13,Unisex,Accessories,Watches,Watches,Accessories,Black,Winter,Casual
49461,vans men blue era scilla plaid shoes,Men,Footwear,Shoes,Casual Shoes,Footwear,Blue,Summer,Casual
8746,crocs kids navy blue clogs,Unisex,Footwear,Flip Flops,Flip Flops,Footwear,Navy Blue,Summer,Casual
9694,classic polo men vulcan white polo tshirts,Men,Apparel,Topwear,Tshirts,Top,White,Fall,Casual
23882,fila men destiny grey sports shoes,Men,Footwear,Shoes,Sports Shoes,Footwear,Grey,Fall,Sports
34835,adidas men blue chill sports shoes,Men,Footwear,Shoes,Sports Shoes,Footwear,Blue,Summer,Sports
15984,turtle check men yellow shirt,Men,Apparel,Topwear,Shirts,Top,Yellow,Fall,Casual
41268,arrow men black wallet,Men,Accessories,Wallets,Wallets,Accessories,Black,Summer,Casual
11518,catwalk women gun metal grey heels,Women,Footwear,Shoes,Heels,Footwear,Grey,Winter,Casual
14856,united colors of benetton women solid beige wallets,Women,Accessories,Wallets,Wallets,Accessories,Beige,Summer,Casual
33648,lotto men ridge brown sandals,Men,Footwear,Sandal,Sandals,Footwear,Brown,Summer,Casual
59297,u.s. polo assn. men white & navy blue shirt,Men,Apparel,Topwear,Shirts,Top,White,Fall,Casual
28032,jockey elance men bikini white brief 1005,Men,Apparel,Innerwear,Briefs,Bottom,White,Summer,Casual
27846,scullers for her charcoal blazer,Women,Apparel,Topwear,Blazers,Top,Charcoal,Summer,Formal
26994,jealous 21 women black jeans,Women,Apparel,Bottomwear,Jeans,Bottom,Black,Summer,Casual
49839,ipanema women red flip flops,Women,Footwear,Flip Flops,Flip Flops,Footwear,Red,Winter,Casual
31923,fabindia women blue silk sling bag,Women,Accessories,Bags,Handbags,Accessories,Blue,Summer,Casual
2618,carlton london women silver wedge sandal,Women,Footwear,Shoes,Flats,Footwear,Silver,Spring,Casual
54588,sushilas women printed green kurta,Women,Apparel,Topwear,Kurtas,Top,Green,Summer,Ethnic
49005,lucera women silver ring,Women,Accessories,Jewellery,Ring,Accessories,Silver,Summer,Casual
13841,adidas unisex three small dials white watches,Unisex,Accessories,Watches,Watches,Accessories,White,Winter,Casual
28200,ray-ban men active lifestyle copper sunglasses,Men,Accessories,Eyewear,Sunglasses,Accessories,Copper,Winter,Casual
12993,adidas kids adispeed black sports shoes,Unisex,Footwear,Shoes,Sports Shoes,Footwear,Black,Fall,Sports
7158,scullers men  green check shirt,Men,Apparel,Topwear,Shirts,Top,Green,Fall,Casual
